comment_id,video_id,author,body,like_count,published_at
UgznfE9wB1D4s3u3AFR4AaABAg,XRU-CjzYt_o,@danmartell,✅ Get your FREE AI Prompt Cheatsheet here: https://go.danmartell.com/484Q7tK,27,2026-04-02T13:02:18Z
UgyZ6FntUsQ6Klbx94N4AaABAg,XRU-CjzYt_o,@fatulcosmin,Claude is killing itself with those trash limits,101,2026-04-02T18:51:07Z
Ugw1ehdOOR__dWKDzj54AaABAg,XRU-CjzYt_o,@thephildiamond,The best AI model is likely going to change every month so do yourself a favor and create a model agnostic knowledge vault that you can plug any model into moving forward.,86,2026-04-02T14:30:27Z
UgyOmffeW_L5hc903nF4AaABAg,XRU-CjzYt_o,@agmusic3359,"OpenAI was a star when they launched ChatGPT. If something better is launched tomorrow, Claude will end up the same way",19,2026-04-03T09:36:17Z
UgzoOZkNnlr8UDtoq0R4AaABAg,XRU-CjzYt_o,@ancientearth2250,"Only gpt gives you more time for the money. Claude is good, but damn those time limit is really worth it?",31,2026-04-02T16:52:35Z
Ugx9ymQri6pS40F6WOp4AaABAg,XRU-CjzYt_o,@Husbandadvice,I used to spend 45 minutes 3 days a week scraping government contracts for bids myself. With Claude and Claude code have a local app that runs a report and gives me a prioritized Excel spreadsheet 3 times a week,22,2026-04-02T17:26:08Z
UgyF8O1eTal9J_DtXFd4AaABAg,XRU-CjzYt_o,@claudioherrera6050,Usage limits on Claude doesn't work for me.,64,2026-04-02T17:35:08Z
UgxdmJMeGGHWNV-0hIB4AaABAg,XRU-CjzYt_o,@cryptoacademymastery,"Mr.Martell, been wanting to comment on your content for quite some time. I love all the videos. But I will say, by far my FAVORITE of all times is the one titled "" How to build systems not goals"". I recommend everyone watch it - not just for the content - But for what you did for one of your employees. Literaly had tears coming down my face the first time i watched it. Keep crushing it Dan ! P.S - My dad was a brain surgeon and passed from a brain tumor when i was six. crazy world we live in ! Godbless",20,2026-04-02T16:30:02Z
UgzofvT1ohlmI33QGsZ4AaABAg,XRU-CjzYt_o,@Trex10nyson,"Claude is good except one thing, Even on the Pro Plan which $20 month, still not enough. The token drain like crazy, you need to upgrade to Max plan.",139,2026-04-02T13:11:36Z
UgxU2u2RTqmCI2-mAel4AaABAg,XRU-CjzYt_o,@easypeasy2938,I'm on both.  20/mo plans.   I contstantly run up against Claude limits in the middle of projects..   very little warning.   then you have to wait for it to reset  or transfer to another llm.   This hardly ever happens with chatgpt.  Feels like this is personal with Dan and I'm curious why.   I see very little difference in quality of output of their frontier models other than claude's  tendency to run out of tokens quicker.,37,2026-04-02T14:31:35Z
UgxL5tdJTidPNCtP6bp4AaABAg,IYF4NtECX3s,@AIEdgeHQ,"Sign up for the AI Edge newsletter, and unlock the assets from the video by joining my Instagram community
👉 https://www.aiedgehq.co/",2,2026-04-03T18:04:53Z
UgwFYdcuTaccoprb5Ux4AaABAg,IYF4NtECX3s,@Rick_1738,🔥🔥,1,2026-04-03T20:02:31Z
UgxRsVBLszMFL-duY5d4AaABAg,IYF4NtECX3s,@anthonymarinelli5074,Love your passion but mate where's the Cheat Sheet !!,0,2026-04-04T13:08:27Z
UgyR7pmJridmvN7Oy6d4AaABAg,IYF4NtECX3s,@michaeladamou3671,"Miles, you’re a fkn legend",1,2026-04-03T21:10:25Z
Ugz1o16VlEsoLTWhjzJ4AaABAg,IYF4NtECX3s,@bitmaaan,Love this video format! And thanks for the prompts! 🙏,1,2026-04-03T19:40:30Z
UgxONpunxgb0S8ubK5B4AaABAg,IYF4NtECX3s,@NataELui,I didn't receive the pdf after following all the steps you sent me.,0,2026-04-04T14:47:25Z
Ugz4XPwhYZ6xpNcMMoB4AaABAg,IYF4NtECX3s,@tedcash2834,"Miles, another banger! Part 2 please. Cheers mate  👍",0,2026-04-03T23:49:25Z
UgydJdr5XEAdy1z2bQN4AaABAg,IYF4NtECX3s,@honestjoe632,"Great video, but what about those of us who work for corporates that won’t allow us to install cowork???",0,2026-04-04T05:02:35Z
UgxknLky9sLOQ4tnxJZ4AaABAg,IYF4NtECX3s,@michaeladamou3671,Oh I saw this video yesterday where you can use note to book LLM to have unlimited memory and so if you connect that to Claude you can have like the most memory possible,0,2026-04-03T21:17:08Z
UgzmbJD8_RbRlZ50H694AaABAg,IYF4NtECX3s,@jonassurmann9857,Where can you download the instructions mentioned in the video and the md files?,3,2026-04-03T22:31:11Z
UgwwG3gliYPNnqId7rt4AaABAg,O2k_qwZA8HU,@nateherk,"Full courses + unlimited support: https://www.skool.com/ai-automation-society-plus/about?el=free-claude-code
All my FREE resources: https://www.skool.com/ai-automation-society/about?el=free-claude-code",3,2026-04-04T01:29:06Z
UgwV7l5Qsca3kTb5tiF4AaABAg,O2k_qwZA8HU,@Charly-lost,the part about haiku silently charging you in the background while you thought you were running free models is genuinely something nobody warns you about,13,2026-04-04T05:41:20Z
UgwQxdtbPBdgMGUzQOF4AaABAg,O2k_qwZA8HU,@tonnictv,Free open source models are like driving a Ferrari with a Ford pinto engine,34,2026-04-04T01:53:38Z
UgzO35-Sp8nweXpCXUx4AaABAg,O2k_qwZA8HU,@MrMeatflaps,"Excellent info, and timely! Thank You!",1,2026-04-04T02:02:34Z
UgzwFVIxOMG5_dhDZwJ4AaABAg,O2k_qwZA8HU,@nothingisimpossible6566,I was waiting for this video soo badly from you...nd finally ❤️,1,2026-04-04T04:53:34Z
Ugw85LnWIaT6SzWe5X94AaABAg,O2k_qwZA8HU,@socialguyrajib,"Thank you so much for the video, man!",1,2026-04-04T01:31:43Z
UgwLvCO7bS2jbHhETp94AaABAg,O2k_qwZA8HU,@cashisconversationcorner,Nuclear Nate with another bomb!! You are a beast! Thank you sir!,2,2026-04-04T01:35:50Z
UgywU2iwusFRSpMiwUV4AaABAg,O2k_qwZA8HU,@emal8323,This one is very helpful and thank you so much Nate bro for this video! ❤❤,0,2026-04-04T03:46:14Z
UgxOnZxMs0gS2VkBLOd4AaABAg,O2k_qwZA8HU,@SavannaBanana205,This was VERY helpful. Thank you!!,1,2026-04-04T10:22:38Z
UgyFg-HBowmqItw3XSR4AaABAg,O2k_qwZA8HU,@cammac57,This is what I need! Just need to make sure the APIs aren’t stealing my data first….,6,2026-04-04T01:38:57Z
UgySHGTZX6J159pSCxh4AaABAg,Y9BOY4k_zb8,@PaulJLipsky,"Try i10x: https://i10x.ai?fpr=paul53
Save 15% with code ""PJL15""",1,2026-04-04T13:01:57Z
UgxePbGD9l62fK2Xl3d4AaABAg,Y9BOY4k_zb8,@warblog6165,God - it’s hard to keep up -thanks for making it easier,2,2026-04-04T13:26:07Z
UgzX-VUgq074ZTwTv0V4AaABAg,Y9BOY4k_zb8,@ibdaramy5455,This is a boon for all AI developers. This leak is a boon for the thousands of smaller Chinese AI companies who want to get best practices comparison with Open Source software. Great news for all.,0,2026-04-04T15:10:02Z
UgxI8qLZwGExoACRW9t4AaABAg,Y9BOY4k_zb8,@yesequalstrue,Someone tell me how I can live a full day in an hour to keep up with all of my AI generated must-read content! Swamped!,0,2026-04-04T15:25:45Z
UgzzMzKlc2VA8e3aWpl4AaABAg,Y9BOY4k_zb8,@MikeGentry,I can attest to Claude's quick limiting. I might have had a 15 minute session a couple days ago and got timed out for several hours. I never use Opus and extended thinking was turned off too. Hopefully their turning off OpenClaw will give the rest of us more use time.,0,2026-04-04T13:52:14Z
Ugy4pkCnQtt_jJHhPr54AaABAg,Y9BOY4k_zb8,@petercarter8455,I want to try Google vids,0,2026-04-04T15:19:38Z
Ugzx7tjZLNiFKf17fXB4AaABAg,Y9BOY4k_zb8,@travisco13,"Most of the time I get to my Claude limit within one message, after he is stuck in thinking for like 4 minutes or something. Guess some loop",0,2026-04-04T14:08:21Z
UgzBsERCfv7xEPyXi0x4AaABAg,Y9BOY4k_zb8,@Mustash-Tony,"The viral ""leak"". but was it though? PS. Is it me or is the volume a bit low. in this video?",0,2026-04-04T14:34:52Z
Ugzd1bwzoe0cP6S-P8p4AaABAg,Y9BOY4k_zb8,@abdsab78,Thank you Paul. Please produce a full detailed clip about Gemini Gems,0,2026-04-04T14:01:29Z
UgwYKlzuOENNbzx3jfR4AaABAg,Y9BOY4k_zb8,@RudraanshTyagi-m1m,"Video Idea: It would be nice to see a detailed course for automation for different things using the tools that you think are best for the job, for example, Algorithm Trading, Marketing automation. 
(Make different courses for paid and free tools)
Video idea 2: Make a video (without collaborating with any platform) for website creation and the tools that a reasonably priced to make one. Explain how credits work, and how one can legally publish such a website with full ownership in major countries according to their laws 
Video idea 3: Try and suggest the best ai tools SPECIFICALLY FOR STUDENTS, and Create a full Guide to make everyone's study as automated as it can be (With as affordable as possible tools of course) And give them ways to make boring things interesting. 
Video idea 4: Suggest the best ai based browser for auto browsing across the world (google only has auto browsing in some aeras only) And explain how it collects data and who should use it 
Video idea 5:  Make a short vi",0,2026-04-04T13:48:33Z
UgylMEs_eyv6zKA7eyR4AaABAg,o1i4FgtXhLA,@picblick,"""Oh no, someone stole my stealing-machine!""",1223,2026-04-03T17:41:09Z
UgwU-5beGcB-i8aCwVV4AaABAg,o1i4FgtXhLA,@geryon,I'm no lawyer but I believe you can get around the copyright claims by having an AI copy the sourcecode instead of doing it yourself.,1259,2026-04-03T16:50:46Z
UgwnUG6rKTB6K7Q_FUF4AaABAg,o1i4FgtXhLA,@CocoHutzpah,"I cloned the repo, not because I intend to use anything in it, but for the joy of taking from a thief.",211,2026-04-03T18:33:15Z
Ugz59J3L1qBBaTca07h4AaABAg,o1i4FgtXhLA,@Bourinos02,AI companies trying to enforce copyrights must be the most hilarious thing this year.,820,2026-04-03T17:28:00Z
UgzAalKGO5G2aIhDIxB4AaABAg,o1i4FgtXhLA,@YuzuruA,"""An employee"" probably means their own stupid IA did that and they won´t admit it",136,2026-04-03T19:08:50Z
Ugw1jut8VXZrxl-8V6F4AaABAg,o1i4FgtXhLA,@andrepessoa608,Anthropic wants to go Open Source but doesn't know how to ask.😂😂😂,481,2026-04-03T16:41:40Z
Ugxw8p30ikSupmr3IBR4AaABAg,o1i4FgtXhLA,@LeszczynskiEd,"Stolen melted gold is actually a great analogy, still a lot of value yet can't be traced to the owner or jeweler.",77,2026-04-03T20:07:44Z
Ugyn1JMxsLqaqAM39ll4AaABAg,o1i4FgtXhLA,@readyrex,"""I told you we should have literally liquidated our employees.""",111,2026-04-03T16:40:09Z
UgxrgojY7zV52oLVBat4AaABAg,o1i4FgtXhLA,@gabrieldias3479,"Dang that shot of Zuckerberg from 2005.
He looked like a nerdy normal human being and nowadays he looks like a vampire who sold his soul to the devil.",201,2026-04-03T17:32:40Z
Ugxshc8XclCfmxCxvwt4AaABAg,o1i4FgtXhLA,@wesnohathas1993,"Huh,, looks like someone finally restarted the universe's karma runtimes.",106,2026-04-03T18:15:21Z
Ugx2IQifSutiGvPo6V94AaABAg,isjOj4QSaO8,@Itssssss_Jack,"📈ALL AI Systems (Join FREE, ends Sunday): https://bit.ly/4kol0y5
🩵 Free Resources: https://bit.ly/3PATPoL",2,2026-04-03T16:14:26Z
UgzOf_aP_azPEFn4Vi94AaABAg,isjOj4QSaO8,@VirtousStoic,"Happy easter weekend brother. ❤ ur work. God bless❤

I am not jk man. No one else in my entire list of channels. Gets a like and comment on every single video like u

I comment on some, like some. But for you. For all

You are a legend man❤",3,2026-04-03T17:20:34Z
UgyrO_t6iXiDeqWu_-54AaABAg,isjOj4QSaO8,@jordanvance1731,I'm not sure that either pizza or curry should be refused at 10:00PM.,1,2026-04-03T17:08:26Z
UgymYwqLF1RjW3b5DUx4AaABAg,isjOj4QSaO8,@derek-hanson,"I love Projects! My only thing I want next is to be able to remember across projects. My work and life is so complex and interwoven, I always want them to know about each other.",0,2026-04-03T19:53:22Z
Ugz9Ex1xJzjHfezFZIt4AaABAg,isjOj4QSaO8,@taylanrogers-sirin4311,Hey you’ve been so help for a new developer thanks for all your help,0,2026-04-03T20:21:27Z
UgxIblJ60Ddl4Uy0UJh4AaABAg,isjOj4QSaO8,@kevinlukejr.8996,"The Maxed out Max plan is what they should call it, LOL 🤣",0,2026-04-03T21:02:24Z
Ugxz9DIjNSEx8nU3zIJ4AaABAg,isjOj4QSaO8,@JasonScopelleti,"Cowork works great on a PC with Desktop Commander MCP and Windows-MCP, install those and your Cowork can control every aspect of your PC...experimenting with autonomous network/server management and monitoring these days....",3,2026-04-03T16:57:34Z
UgwfrrPUozzSX5U6MVx4AaABAg,isjOj4QSaO8,@lourosc,Doesn’t superhuman cover the last  use case?,0,2026-04-03T17:54:49Z
UgzmdoYnURG-gabGWsl4AaABAg,isjOj4QSaO8,@JulianFernandez,thx,0,2026-04-04T06:48:08Z
Ugxxc-KqMTteiZJlERF4AaABAg,isjOj4QSaO8,@timt8303,Is there a benefit to cowork vs just the terminal?,0,2026-04-04T00:57:04Z
Ugxsbp7xxTnybYtOa2p4AaABAg,CLLyO7f6zKU,@ajanitymediagroup7586,PLEASE create a COMPLETE branding video!!!,37,2026-04-01T07:11:00Z
UgxGT2oxr92us3J6ash4AaABAg,CLLyO7f6zKU,@romil-u4s,We want a Branding video,41,2026-04-01T06:33:38Z
Ugxr-WUl291gZiIiIZB4AaABAg,CLLyO7f6zKU,@andersbehrmann9569,"Noticed how he casually mentioned ”oh, I’m using this model thing” and never explains why Opus 4.6 Extended is the superior brain - but also SUPER EXPENSIVE.",2,2026-04-03T08:37:23Z
UgyIF5YeIAZ4xeSkTY14AaABAg,CLLyO7f6zKU,@ginadavidson6441,Definitely your branding techniques - thank you,4,2026-04-02T09:58:26Z
Ugwyl7NZAYvpiIlQlkF4AaABAg,CLLyO7f6zKU,@estrelladeluxe1366,AI slop is creating videos of someone walking in clear boots filled with wine. This is productivity. Thank you!,2,2026-04-03T05:31:16Z
UgyL_0tefkL6rKkyRah4AaABAg,CLLyO7f6zKU,@aboodbf2609,Truly one of the best things I’ve come across today.,7,2026-03-31T16:41:34Z
UgwbsTZ2bfY1HznuCkh4AaABAg,CLLyO7f6zKU,@SPILogistics,"Manus is the best tool for visual assets, as it already has nano banana built in, but you have to be smart about how you use their credits. Use a brand book, upload skills, and you'll be blown away.",20,2026-03-31T15:45:36Z
Ugytzi22PdofBa27YZJ4AaABAg,CLLyO7f6zKU,@tiênđức2000,my manager told me to “be careful” when he saw me reading it. that told me everything,0,2026-04-03T17:14:34Z
Ugw15EX8abTSoXWqKMd4AaABAg,CLLyO7f6zKU,@madetheshift,Thanks Alex awesome content as usual. Please create a branding video. Cheers,0,2026-04-04T08:12:37Z
UgxmlTUa8PduvDHjJ5B4AaABAg,CLLyO7f6zKU,@drcathyklein,BRANDING VIDEO NEEDED!!!!!!!!,0,2026-04-04T10:49:19Z
UgywW0eZqNwMbztEhix4AaABAg,L-qgqSGIBsg,@AliShahin,"للاشتراك في دبلونة الويب لتعلم البرمجة من الصفر ادخل على الينك دا 
https://www.itlegend.net/salespage/home/index?currentoffer=706db4a8-977e-4ab9-bfa3-8f09c13ff5a8&AdsId=1",0,2026-04-04T12:23:19Z
UgwvHjRoALIhMbf7kRF4AaABAg,L-qgqSGIBsg,@866ياسر,اعتقد ان التسريب حصل كرد فعل انتقامي لانهم رفضو عروض الحكومة الامريكية في توظيف الذكاء الاصطناعي لاتخاذ قرار القتل في الحروب,41,2026-04-03T00:05:53Z
UgxlEH72KAz3aNQRF1t4AaABAg,L-qgqSGIBsg,@abdelraheemabdelsayed9339,اعتقد الموضوع سياسي اكثر وبخصوص حروب امريكا لان  ترامب طلب من انثروبيك دعم السلاح  بالذكاء الاصطناعي افتكر دا من اسباب لأن الشركة رفضت تدخلها على العموم دي وجه نظري انا اعرف الكثير عن,12,2026-04-03T02:29:55Z
UgzeJ1-jnV5cS5D9fJd4AaABAg,L-qgqSGIBsg,@Ayat_Rad_Tales,فرحانة فيهم بصراحة 😂😂😂,1,2026-04-04T08:09:45Z
UgwCk_XbcDoOPDzh4XJ4AaABAg,L-qgqSGIBsg,@Malek_Nofal1,بجد انا بحب فالله انت شخص عندك قبول مش طبيعي و عايزين فيديو لابتوبات 2026❤❤,4,2026-04-03T02:13:07Z
UgwyyypFB8TEjzKWgyN4AaABAg,L-qgqSGIBsg,@MRBBK-k3t,آه يا مدير يا بطل تكشف المستور,0,2026-04-04T01:49:56Z
UgzoKLm1I4KlPnqf_WJ4AaABAg,L-qgqSGIBsg,@Dr.Amaaar,🟡 بس دا يابشمهندس هيخلي التطور يحصل أسرع من الطبيعي ، لان كده الشركات المنافسة هتبدأ من أعلى نقطة وصل ليها انثروبيك ، بل اللي لسه موصلهوش مستقبليا ، فكده انثروبيك إما هيعلوا عن الطبيعي ويحطوا فيتشرز كانت هتتأخر شوية عبال ما نشوفها ، فده ضد المبرمجين برده 🤔,6,2026-04-03T09:45:23Z
Ugz2ZloZS6VD5mTi8XB4AaABAg,L-qgqSGIBsg,@ahmedkorgmg2890,ياريت المختصر المفيد حد ابن حلال يختصر لينا  مين المتأثر ؟❤,1,2026-04-03T20:12:10Z
UgyBzPf4NtLEUhQE9iR4AaABAg,L-qgqSGIBsg,@زينالدين-ي3ث,من وجهت نظري هي ضربة من الحكومة الامريكية بعد الخلاف معهم,5,2026-04-03T00:27:07Z
UgzcYDSow8zjF4wMiRd4AaABAg,L-qgqSGIBsg,@rachdzfreedom799,موافقك تماما حاليا الذكاء الاصطناعي عامل زي الطفل الي يبغي يقف في اول مراحل حياته ليمشي و لكن من حين لحين يسقط فلس امام ما يضبط سنوات من الشغل مش زي ما هم يسوقون و الهدف معروف الربح و استرجاع الأموال باستغفال المبرمجين.,0,2026-04-04T07:13:22Z
Ugw8Er35r_0E-UKBXX14AaABAg,mBHRPeg8zPU,@raitonodefeat6503,"When your security is a ""Please make it secure"" sentence on an AI console.",3484,2026-04-02T12:30:40Z
Ugw5_UzcnEpA236ILrV4AaABAg,mBHRPeg8zPU,@klipklapklop3359,Multi trillion dollar industry vs a 58mb file,7970,2026-04-02T09:15:26Z
UgyuQjFWEV-ALQuRAid4AaABAg,mBHRPeg8zPU,@98ahni,The AI must have looked at the date and came to the conclusion that the most human thing to do was an April Fools prank.,9065,2026-04-01T22:12:10Z
UgxA41Mp0eBUmlCQBmx4AaABAg,mBHRPeg8zPU,@aviraljanveja5155,Plot twist : This was an April fools prank by Anthropic. The real code base is secure and they intentionally leaked this one to distract their competitors.,98,2026-04-03T14:35:06Z
UgywTfhTvBsX-lulp9V4AaABAg,mBHRPeg8zPU,@bloodylegend2341,What a day to post a video like this,14784,2026-04-01T17:28:42Z
UgyPiyJ74nUPvQ6fSxN4AaABAg,mBHRPeg8zPU,@FenrirWolf793,"The developer forgot to finish the vibe coding with: ""...and make no mistakes.""",6336,2026-04-01T18:40:17Z
UgzlcaJYQ14RWL_x37N4AaABAg,mBHRPeg8zPU,@leslielemmon,Anthropic woke up to an April fools prank they won't forget 👍🏽,2437,2026-04-02T09:12:23Z
UgyeF3v69MNJjPhZ5Z54AaABAg,mBHRPeg8zPU,@tabletkidofficial,HOLY SHIT THIS REALLY IS THE BEGINNING OF THE CYBERPUNK UNDERGROUND AI ERA,350,2026-04-03T17:07:45Z
Ugwep4PkaOxPToRCHMd4AaABAg,mBHRPeg8zPU,@TheCameltotem,"This is literally ""Make no mistakes"" prompts on steroids",724,2026-04-02T07:52:50Z
UgzLulRiD5SDPhv2_0d4AaABAg,mBHRPeg8zPU,@JJGlyph,The pull request attempt 💀 🤣,8545,2026-04-01T17:36:43Z
UgwHd54ZZ98oQolFHup4AaABAg,VkVNjcy2VUc,@JccGrid,I used god mode and Claude manifested itself in this reality,11,2026-04-03T09:12:49Z
Ugyz4Uwm1kccROo-MkV4AaABAg,VkVNjcy2VUc,@jul71983,And this is why professors are starting to do verbal evaluations instead of papers.,9,2026-04-03T05:55:19Z
Ugxk_l5LivPhV_svp854AaABAg,VkVNjcy2VUc,@BuildWithNova,Claude is the way to go 😎😎😎,0,2026-04-04T13:42:54Z
UgyARwkwM_WLKfvxJ8x4AaABAg,VkVNjcy2VUc,@resurgensix,Hell yeah,0,2026-04-04T04:35:20Z
UgyDALL8ohB6bZfgyql4AaABAg,VkVNjcy2VUc,@loopedchaos99,Useful ia info,0,2026-04-04T02:51:23Z
Ugy_EEg1zHzlmbHD7YJ4AaABAg,VkVNjcy2VUc,@ScrotoTBaggins,"Great
Prompts for generate prompts",2,2026-04-03T07:07:44Z
UgwmlMlr9ntZUZIFllx4AaABAg,VkVNjcy2VUc,@mouneed,"Fuck, where do you get this nonsense?:) have you at least tried these SUPER-DUPER codes on your own??????",3,2026-04-03T09:27:12Z
UgxzjoGsspxbpCRowiR4AaABAg,VkVNjcy2VUc,@badam1814,Claude says all these codes are bs,2,2026-04-03T15:01:58Z
Ugxh0QiCV_VQLVSkvK14AaABAg,VkVNjcy2VUc,@gevuar3034,Thx 👍,1,2026-04-03T05:25:12Z
UgxDlKltSYtspu1THCJ4AaABAg,VkVNjcy2VUc,@alneez2010,Great info,1,2026-04-03T05:49:48Z
